Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
art,2025-03-13 06:02:00+00:00,"The world needs more, unique, passionate, tangible art.",world need unique passionate tangible art,"['world', 'need', 'unique', 'passionate', 'tangible', 'art']"
art,2025-03-13 06:02:00+00:00,@ruueberry I PUT ART PRINTS UP THATS THE ONLY DIFFERENCE,put art print thats difference,"['put', 'art', 'print', 'thats', 'difference']"
art,2025-03-13 06:01:59+00:00,@crypto_queen_x Nice art!! Here’s an analyzed chart to accompany your fun posts!! https://t.co/KtiwvNUgRh,nice art analyzed chart accompany fun post,"['nice', 'art', 'analyzed', 'chart', 'accompany', 'fun', 'post']"
art,2025-03-13 06:01:59+00:00,@AltVibeX This looks an amazing art,look amazing art,"['look', 'amazing', 'art']"
art,2025-03-13 06:01:58+00:00,"@VendettaYaps LOL as a former art major

same.

THE LINE QUALITY

THE SURFACE HARMONIZATION

THE EDGE AWARENESS",lol former art major line quality surface harmonization edge awareness,"['lol', 'former', 'art', 'major', 'line', 'quality', 'surface', 'harmonization', 'edge', 'awareness']"
art,2025-03-13 06:01:54+00:00,@tryingattimes AI-generated art is becoming mainstream in galleries and museums. #AIArt #CreativeTech,art becoming mainstream gallery museum,"['art', 'becoming', 'mainstream', 'gallery', 'museum']"
art,2025-03-13 06:01:52+00:00,"🔥 New Updates!

#ElonMusk officially introduces the X Token.🎉

➞ https://t.co/0gg82JULHH

kEVzA @raddell71 @cryptomaximaus @janel73936481 @manggala_art @shseldizilliia @Soarceeth195633 @er_marble1848 @Wizzlerr @Marcel27378791",new update officially introduces x kevza,"['new', 'update', 'officially', 'introduces', 'x', 'kevza']"
art,2025-03-13 06:01:52+00:00,"Check out this product 😍 Cat hair don’t care Short-Sleeve Unisex T-Shirt 😍 
by fallstores starting at $18.50. 
Shop now 👉👉 https://t.co/z8gTBL76gQ
#art #fallstores @Abuhatim2 https://t.co/vxmJy9Q9oK",check product cat hair care unisex fallstores starting shop,"['check', 'product', 'cat', 'hair', 'care', 'unisex', 'fallstores', 'starting', 'shop']"
art,2025-03-13 06:01:52+00:00,@M3a411 Is this game some kind of visual art?,game kind visual art,"['game', 'kind', 'visual', 'art']"
art,2025-03-13 06:01:52+00:00,"The art of the deal apparently involves humiliating those you wish to influence by issuing insulting public threats.  WTAF has America installed in the White House? This is beyond Boris -levels of crazy. There are probably reasons why diplomacy is not ..

https://t.co/bSvwvCMCC7",art deal apparently involves humiliating wish influence issuing insulting public threat wtaf america installed white house beyond boris crazy probably reason diplomacy,"['art', 'deal', 'apparently', 'involves', 'humiliating', 'wish', 'influence', 'issuing', 'insulting', 'public', 'threat', 'wtaf', 'america', 'installed', 'white', 'house', 'beyond', 'boris', 'crazy', 'probably', 'reason', 'diplomacy']"
art,2025-03-13 06:01:51+00:00,"🔥 New Updates!

#ElonMusk officially introduces the X Token.🎉

➞ https://t.co/545pzdNmdF

dWwSP @jinux88 @_diegolopes @Art__4you @Suannai31103790 @maryam237151735 @dv050 @ANDERSON7075 @PasinduDulshan6 @a0b1an5XFE1Bddx @AlexSt95818956",new update officially introduces x dwwsp,"['new', 'update', 'officially', 'introduces', 'x', 'dwwsp']"
art,2025-03-13 06:01:50+00:00,@yamouri_art if you don't that'd be a sin in of itself,sin,['sin']
art,2025-03-13 06:01:49+00:00,Art vs Artist https://t.co/I7TKvA0N1s https://t.co/Qboaee43CT,art v artist,"['art', 'v', 'artist']"
art,2025-03-13 06:01:49+00:00,@true_jek_art How lovely but fascinate!,lovely fascinate,"['lovely', 'fascinate']"
art,2025-03-13 06:01:48+00:00,@dave16492534 @w_terrence @elonmusk This is a true work of art. You have outdone yourself!🤣🤣,true work art outdone,"['true', 'work', 'art', 'outdone']"
art,2025-03-13 06:01:48+00:00,@GustafSama54561 Sportsmanship is the art of respecting the game and your opponents.🎭🚽🤟🔺,sportsmanship art respecting game,"['sportsmanship', 'art', 'respecting', 'game']"
art,2025-03-13 06:01:47+00:00,"🔥 New Updates!

#ElonMusk officially introduces the X Token.🎉

➞ https://t.co/gKUspKdnqb

jUgLo @JayMoonShow @MagpieMoguls @Cristia37842364 @Sanmi_art @Mthethe6 @scarletischer @PhmThnh38827664 @realtor_shanna @andreaseliasse",new update officially introduces x juglo,"['new', 'update', 'officially', 'introduces', 'x', 'juglo']"
art,2025-03-13 06:01:47+00:00,twink #hoyocreators #genshinimpact #genshin #art #mizuki #lumine #fanart #fyp https://t.co/G0Gm4CfYX2,twink,['twink']
art,2025-03-13 06:01:46+00:00,"🐱 $JUP drop is live! 

1️⃣ More info: https://t.co/p6v3JPzBOX

☑️ Еligiblе users: #0dGtY @yc8921 @Arg17299 @Aries6S20 @Afrikamuzikaa @NadrHardi86800 @JahzaelEffend @nebraska_art",jup drop live info еligiblе user,"['jup', 'drop', 'live', 'info', 'еligiblе', 'user']"
art,2025-03-13 06:01:45+00:00,My art is blue 🎨🎭 https://t.co/s5ITWEeE0x,art blue,"['art', 'blue']"
