Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
culture,2025-03-13 06:17:39+00:00,"@BRSoucek You're a misogynistic rape culture apologist.

Bore off with your lect... sorry, 70 page article telling women their boundaries mean fuck all. 

#RespectMySex #SexMatters #SaveWomensSports",misogynistic rape culture apologist bore lect sorry page article telling woman boundary mean fuck,"['misogynistic', 'rape', 'culture', 'apologist', 'bore', 'lect', 'sorry', 'page', 'article', 'telling', 'woman', 'boundary', 'mean', 'fuck']"
culture,2025-03-13 06:17:36+00:00,"Gmonadddd @monad_xyz ~
Get ready for a spooky Saturday night! 🎃✨ Our Mandarin class is back this week, and this time, we’re diving into the eerie and mysterious side of Chinese culture! 👻🧧 

Join us this Saturday at 1pm UTC for some fun and chilling stories you won’t want to… https://t.co/OMtxXmv3SQ https://t.co/p07WagCo7p",gmonadddd get ready spooky saturday night mandarin class back week time diving eerie mysterious side chinese culture join u saturday pm utc fun chilling story want,"['gmonadddd', 'get', 'ready', 'spooky', 'saturday', 'night', 'mandarin', 'class', 'back', 'week', 'time', 'diving', 'eerie', 'mysterious', 'side', 'chinese', 'culture', 'join', 'u', 'saturday', 'pm', 'utc', 'fun', 'chilling', 'story', 'want']"
culture,2025-03-13 06:17:34+00:00,@Plinz ... was a genre of music... before becoming the operating system of culture... in a slow transition from rhytmical/poetical to analytical. But anytime we are overwhelmed by emotion... we revert to slowing down the syntagma... and prolonging the paradigma... as in singing.,genre music becoming operating system culture slow transition analytical anytime overwhelmed emotion revert slowing syntagma prolonging paradigma singing,"['genre', 'music', 'becoming', 'operating', 'system', 'culture', 'slow', 'transition', 'analytical', 'anytime', 'overwhelmed', 'emotion', 'revert', 'slowing', 'syntagma', 'prolonging', 'paradigma', 'singing']"
culture,2025-03-13 06:17:34+00:00,"@Luxaer @operationmaga3 @MenchOsint Do you really believe liberty is a white thing?  That's a human thing.  And I'm not talking about the avg white person. I'm talking about this culture in gen. As a whole, colonial cultures are built on genocide, slavery, constant war. Nothing about that supports liberty. 1/2",really believe liberty white thing human thing talking avg white person talking culture whole colonial culture built genocide slavery constant war nothing support liberty,"['really', 'believe', 'liberty', 'white', 'thing', 'human', 'thing', 'talking', 'avg', 'white', 'person', 'talking', 'culture', 'whole', 'colonial', 'culture', 'built', 'genocide', 'slavery', 'constant', 'war', 'nothing', 'support', 'liberty']"
culture,2025-03-13 06:17:26+00:00,"@GeanineHudson @thepivot @AnthonyMackie Comic book characters are staples of our culture and morality. You can't change the person that wears the suit because no two people make the same sacrifices to become their true selves.
These things are important. Kids learn right and wrong from comic books.",comic book character staple culture morality ca change person wear suit two people make sacrifice become true self thing important kid learn right wrong comic book,"['comic', 'book', 'character', 'staple', 'culture', 'morality', 'ca', 'change', 'person', 'wear', 'suit', 'two', 'people', 'make', 'sacrifice', 'become', 'true', 'self', 'thing', 'important', 'kid', 'learn', 'right', 'wrong', 'comic', 'book']"
culture,2025-03-13 06:17:21+00:00,"Rolling Loud 2025: What fans need to know before heading out
Get ready for a music festival unlike any other! 🎶✨ Rolling Loud 2025 promises non-stop vibes, incredible acts, and a chance to experience the urban party culture firsthand. 😎 Be sure to ch...
https://t.co/gTut7abA9x",rolling loud fan need know heading get ready music festival unlike rolling loud promise vibe incredible act chance experience urban party culture firsthand sure ch,"['rolling', 'loud', 'fan', 'need', 'know', 'heading', 'get', 'ready', 'music', 'festival', 'unlike', 'rolling', 'loud', 'promise', 'vibe', 'incredible', 'act', 'chance', 'experience', 'urban', 'party', 'culture', 'firsthand', 'sure', 'ch']"
culture,2025-03-13 06:17:20+00:00,"🙏 Japanese Etiquette &amp; Culture Guide 🇯🇵

Planning a trip to Japan? Understanding local customs will make your experience even better! 🌏✨

✔️ Remove Your Shoes – At homes, temples, and some restaurants. Look for a shoe rack! 👞➡️👣
✔️ Train Etiquette – Stay quiet, avoid phone… https://t.co/utyWyyuES2",japanese etiquette amp culture guide planning trip japan understanding local custom make experience even better remove shoe home temple restaurant look shoe rack train etiquette stay quiet avoid,"['japanese', 'etiquette', 'amp', 'culture', 'guide', 'planning', 'trip', 'japan', 'understanding', 'local', 'custom', 'make', 'experience', 'even', 'better', 'remove', 'shoe', 'home', 'temple', 'restaurant', 'look', 'shoe', 'rack', 'train', 'etiquette', 'stay', 'quiet', 'avoid']"
culture,2025-03-13 06:17:20+00:00,"🍣 Ultimate Japanese Food Guide! 🇯🇵

Visiting Japan? Don't miss out on these must-try foods! 🍜🍡

✔️ Ramen – From rich tonkotsu (pork broth) to light shoyu (soy sauce), Japan’s ramen culture is a must-experience! 🍜
✔️ Sushi – Try omakase-style sushi for the freshest experience… https://t.co/2rQ0XbPJY5",ultimate japanese food guide visiting japan miss food ramen rich tonkotsu pork broth light shoyu soy sauce japan ramen culture sushi try sushi freshest,"['ultimate', 'japanese', 'food', 'guide', 'visiting', 'japan', 'miss', 'food', 'ramen', 'rich', 'tonkotsu', 'pork', 'broth', 'light', 'shoyu', 'soy', 'sauce', 'japan', 'ramen', 'culture', 'sushi', 'try', 'sushi', 'freshest']"
culture,2025-03-13 06:17:16+00:00,"Come and explore the Yangtze River civilization, the culture of Hubei province as well as the evolution of Chinese painting! 😃 https://t.co/gpGeByGOHp",come explore yangtze river civilization culture hubei province well evolution chinese painting,"['come', 'explore', 'yangtze', 'river', 'civilization', 'culture', 'hubei', 'province', 'well', 'evolution', 'chinese', 'painting']"
culture,2025-03-13 06:17:13+00:00,@Ilysomuch1000 @HelloKittySoo I’ll be that instead of some weirdo hiding behind a bunny. Yall are some low life’s. I bet you white and defending black hoe culture. Non of this retains to what I initially said to start this thread. Now yall on it. You could of kept it pushing but you hurt too,instead weirdo hiding behind bunny yall low life bet white defending black hoe culture non retains initially said start thread yall could kept pushing hurt,"['instead', 'weirdo', 'hiding', 'behind', 'bunny', 'yall', 'low', 'life', 'bet', 'white', 'defending', 'black', 'hoe', 'culture', 'non', 'retains', 'initially', 'said', 'start', 'thread', 'yall', 'could', 'kept', 'pushing', 'hurt']"
culture,2025-03-13 06:17:10+00:00,"@keigokisses Listen. I can explain.
(Has no explanation, only culture 😌)",listen explain explanation culture,"['listen', 'explain', 'explanation', 'culture']"
culture,2025-03-13 06:17:08+00:00,@Culture_Crazee The only way to do great work is to love what you do,way great work love,"['way', 'great', 'work', 'love']"
