Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
pie,2025-03-13 22:05:50+00:00,Just enjoyed a delightful cup of coffee with a slice of homemade apple pie Mornings never tasted so good! 🍎☕️,enjoyed delightful cup coffee slice homemade apple pie morning never tasted good,"['enjoyed', 'delightful', 'cup', 'coffee', 'slice', 'homemade', 'apple', 'pie', 'morning', 'never', 'tasted', 'good']"
pie,2025-03-13 22:05:48+00:00,dominos so stingy for not have a pie day deal😐,domino stingy pie day,"['domino', 'stingy', 'pie', 'day']"
pie,2025-03-13 22:05:41+00:00,"#GOLD🔥

HOT GOLD! Earn BIG with OUR crypto trading strategies!🌐🌌🎉

🎁Welcome: https://t.co/WLyij4vNfa

QKgsIn9N @anukarest @dogankaya7038 @BK55855938 @FanzLymar50929 @CaselliJym @_NiliiM_ @ChunkyWood4u @AyandaNthoesane @Pie_ness14 @Cryptoboer1",hot gold earn big crypto trading strategy qkgsinn,"['hot', 'gold', 'earn', 'big', 'crypto', 'trading', 'strategy', 'qkgsinn']"
pie,2025-03-13 22:05:31+00:00,Sports investors are making savvy moves by trading their skills for stock market expertise and taking a slice of the financial pie,sport investor making savvy move trading skill stock market expertise taking slice financial pie,"['sport', 'investor', 'making', 'savvy', 'move', 'trading', 'skill', 'stock', 'market', 'expertise', 'taking', 'slice', 'financial', 'pie']"
pie,2025-03-13 22:05:28+00:00,@JaydenDoodles Pie to the face,pie face,"['pie', 'face']"
pie,2025-03-13 22:05:22+00:00,@UScrimeReview Do I have to join the government to get my piece of the pie?,join government get piece pie,"['join', 'government', 'get', 'piece', 'pie']"
pie,2025-03-13 22:05:18+00:00,"📣 NEW STATE ADDED: I've completed pie charts breaking out total population enrollment in #MEDICAID, #CHIP, #MEDICARE &amp; #ACA exchange plans for #OKLAHOMA:

https://t.co/zqG9OHcTji",new state added completed pie chart breaking total population enrollment amp exchange plan,"['new', 'state', 'added', 'completed', 'pie', 'chart', 'breaking', 'total', 'population', 'enrollment', 'amp', 'exchange', 'plan']"
pie,2025-03-13 22:05:18+00:00,@justshutupliz he’s a professional cutie pie,professional cutie pie,"['professional', 'cutie', 'pie']"
pie,2025-03-13 22:05:14+00:00,@ElonMuskOde Hey cutie pie,hey cutie pie,"['hey', 'cutie', 'pie']"
pie,2025-03-13 22:05:09+00:00,@kewwie_pie how about prosciutto 🧐,prosciutto,['prosciutto']
pie,2025-03-13 22:05:03+00:00,@ken_wheeler That's a mighty fine looking pie,mighty fine looking pie,"['mighty', 'fine', 'looking', 'pie']"
pie,2025-03-13 22:05:00+00:00,Playing the odds in a high-stakes game where winners take most of the pie and losers face complete financial wipeout,playing odds game winner take pie loser face complete financial wipeout,"['playing', 'odds', 'game', 'winner', 'take', 'pie', 'loser', 'face', 'complete', 'financial', 'wipeout']"
pie,2025-03-13 22:04:52+00:00,"At some point,  I would think you would shut your pie hole.  No one believes you.  We believe there is a high probability you stole our money.  Prove otherwise, that’s the only thing we want to hear from you https://t.co/EMt3aKCK0G",point would think would shut pie hole one belief believe high probability stole money prove otherwise thing want hear,"['point', 'would', 'think', 'would', 'shut', 'pie', 'hole', 'one', 'belief', 'believe', 'high', 'probability', 'stole', 'money', 'prove', 'otherwise', 'thing', 'want', 'hear']"
pie,2025-03-13 22:04:47+00:00,@StorybookFrens yey and for dessert I will bring an apple pie fren 🥧,yey dessert bring apple pie fren,"['yey', 'dessert', 'bring', 'apple', 'pie', 'fren']"
pie,2025-03-13 22:04:44+00:00,"@GinaForAustin You dont give a damn about special ed kids.
If the state sets aside special ed $ will you go for vouchers?…NO! 
Because it was never about the kids for you dems; it was about having your hands in the pie, the public money, spending and controlling billions in cash&amp;union pensions",dont give damn special ed kid state set aside special ed go voucher never kid dems hand pie public money spending controlling billion cash amp union pension,"['dont', 'give', 'damn', 'special', 'ed', 'kid', 'state', 'set', 'aside', 'special', 'ed', 'go', 'voucher', 'never', 'kid', 'dems', 'hand', 'pie', 'public', 'money', 'spending', 'controlling', 'billion', 'cash', 'amp', 'union', 'pension']"
pie,2025-03-13 22:04:40+00:00,Just finished baking a delicious apple pie from scratch! The aroma was simply heavenly Can't wait to share a slice with my friends tonight,finished baking delicious apple pie scratch aroma simply heavenly ca wait share slice friend tonight,"['finished', 'baking', 'delicious', 'apple', 'pie', 'scratch', 'aroma', 'simply', 'heavenly', 'ca', 'wait', 'share', 'slice', 'friend', 'tonight']"
