Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
sports,2025-03-12 04:46:20+00:00,"Perfect gift for a sports enthusiast Mom on Mother’s Day! Available at:
https://t.co/ILZbTyLJRx https://t.co/N09DrwpvWL",perfect gift sport enthusiast mom mother day available,"['perfect', 'gift', 'sport', 'enthusiast', 'mom', 'mother', 'day', 'available']"
sports,2025-03-12 04:46:15+00:00,"@TheWhiteKn50959 In sports, it’s not about being the best; it’s about doing your best.🚁🌞👈🥥",sport best,"['sport', 'best']"
sports,2025-03-12 04:46:10+00:00,@SajSadiqCricket Saj r u inspired by a sports person who smokes in dressing roam in front of camera,saj r u inspired sport person smoke dressing roam front camera,"['saj', 'r', 'u', 'inspired', 'sport', 'person', 'smoke', 'dressing', 'roam', 'front', 'camera']"
sports,2025-03-12 04:46:07+00:00,"@LIDemocrat @LakePoliticsYT lemme pick your brain, do you have to pro trans on every trans political thing? for example can you womens sports and hormone blockers for minors.",lem pick brain pro trans every trans political thing example womens sport hormone blocker minor,"['lem', 'pick', 'brain', 'pro', 'trans', 'every', 'trans', 'political', 'thing', 'example', 'womens', 'sport', 'hormone', 'blocker', 'minor']"
sports,2025-03-12 04:46:07+00:00,"@TimeS9226 The true spirit of sports is respecting the game, your teammates, and your opponents.📫🦏🌁👘🥛",true spirit sport respecting game teammate,"['true', 'spirit', 'sport', 'respecting', 'game', 'teammate']"
sports,2025-03-12 04:46:06+00:00,"@TimeS9226 The true measure of success in sports is not in trophies, but in respect earned.🏰🌝🎲🙋",true measure success sport trophy respect,"['true', 'measure', 'success', 'sport', 'trophy', 'respect']"
sports,2025-03-12 04:46:01+00:00,Mount Carmel-John Curtis softball classic included plenty of drama and went 13 innings https://t.co/A5uXq3rTyi,mount curtis softball classic included plenty drama went inning,"['mount', 'curtis', 'softball', 'classic', 'included', 'plenty', 'drama', 'went', 'inning']"
sports,2025-03-12 04:45:54+00:00,"@kimberl4177851 The true measure of success in sports is not in trophies, but in respect earned.🏓🌈❔🎉🤫",true measure success sport trophy respect,"['true', 'measure', 'success', 'sport', 'trophy', 'respect']"
sports,2025-03-12 04:45:54+00:00,"Like the rabid fans of sports,. 4 https://t.co/SI9p4ZWyko",like rabid fan sport,"['like', 'rabid', 'fan', 'sport']"
sports,2025-03-12 04:45:53+00:00,"@sandra945076396 In sports, it’s not about being the best; it’s about doing your best.✅🎱🌘🧇🎁",sport best,"['sport', 'best']"
sports,2025-03-12 04:45:53+00:00,"@sandra945076396 In sports, it’s not about being the best; it’s about doing your best.🦖↙🎽💥🌻",sport best,"['sport', 'best']"
sports,2025-03-12 04:45:53+00:00,"@sandra945076396 In sports, it’s not about being the best; it’s about doing your best.🚣🔂🤣🧻🦢",sport best,"['sport', 'best']"
sports,2025-03-12 04:45:48+00:00,@jackson23518848 @barstoolsports Sorry but I think Barstool sports doesn't want to put up with AR's shit anymore and so they hate on her because she misses layups,sorry think barstool sport want put ar shit anymore hate miss layup,"['sorry', 'think', 'barstool', 'sport', 'want', 'put', 'ar', 'shit', 'anymore', 'hate', 'miss', 'layup']"
sports,2025-03-12 04:45:39+00:00,"@Nati_Sports That’s a pretty stiff kick in the dick. Couldn’t happen to a better franchise! 😜
🤣🤣🤣",pretty stiff kick dick happen better franchise,"['pretty', 'stiff', 'kick', 'dick', 'happen', 'better', 'franchise']"
sports,2025-03-12 04:45:37+00:00,"@WallaceSha88508 In sports, it’s not about being the best; it’s about doing your best.💶🤳🚦",sport best,"['sport', 'best']"
sports,2025-03-12 04:45:35+00:00,"1. Based on who’s “mhmmmm” in the background you probably wrong 

2. Did you say all this to bron? Don’t talk now

3. All the nepotism in the world, in sports you talking bout Bron and the 55th pick. Meanwhile the 1st pick can’t get 5 mins on ESPN https://t.co/lAPQExJ0se",based mhmmmm background probably wrong say bron talk nepotism world sport talking bout bron th pick meanwhile st pick get min espn,"['based', 'mhmmmm', 'background', 'probably', 'wrong', 'say', 'bron', 'talk', 'nepotism', 'world', 'sport', 'talking', 'bout', 'bron', 'th', 'pick', 'meanwhile', 'st', 'pick', 'get', 'min', 'espn']"
sports,2025-03-12 04:45:30+00:00,"@ShaenJanet2887 The true measure of success in sports is not in trophies, but in respect earned.💌🌹👏🚯🕑",true measure success sport trophy respect,"['true', 'measure', 'success', 'sport', 'trophy', 'respect']"
sports,2025-03-12 04:45:30+00:00,"Whoopi Goldberg ripped for wild views on transgender women competing in female sports 
Source: New York Post https://t.co/D0PxH9Akbt",whoopi goldberg ripped wild view transgender woman competing female sport source new york post,"['whoopi', 'goldberg', 'ripped', 'wild', 'view', 'transgender', 'woman', 'competing', 'female', 'sport', 'source', 'new', 'york', 'post']"
sports,2025-03-12 04:45:28+00:00,"Connections: Sports Edition
 Puzzle #169
 🟡🟡🟡🟡
 🟣🟣🟣🟣
 🔵🟢🟢🟢
 🟢🟢🟢🟢
 🔵🔵🔵🔵",connection sport edition puzzle,"['connection', 'sport', 'edition', 'puzzle']"
sports,2025-03-12 04:45:27+00:00,"@TaylorBisciotti I have admiration for all fellow sports media, and everyone else, taking a red-eye. I took one from Salt Lake City to Boston a little while ago. Good luck.",admiration fellow sport medium everyone else taking took one salt lake city boston little ago good luck,"['admiration', 'fellow', 'sport', 'medium', 'everyone', 'else', 'taking', 'took', 'one', 'salt', 'lake', 'city', 'boston', 'little', 'ago', 'good', 'luck']"
