Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
work,2025-03-13 06:49:17+00:00,@unique_shalini Good work anant and team,good work anant team,"['good', 'work', 'anant', 'team']"
work,2025-03-13 06:49:17+00:00,"@yvaindeTroyes There is no Kullervo from Ormandy. Although he was still conducting when the work was recorded by Berglund, it’s not a work he took up on record. There are, of course, many Sibelius works deriving from the Kalevala and many great interpreters of them.",kullervo ormandy although still conducting work recorded berglund work took record course many sibelius work deriving kalevala many great interpreter,"['kullervo', 'ormandy', 'although', 'still', 'conducting', 'work', 'recorded', 'berglund', 'work', 'took', 'record', 'course', 'many', 'sibelius', 'work', 'deriving', 'kalevala', 'many', 'great', 'interpreter']"
work,2025-03-13 06:49:17+00:00,@kaminiyadav92 The hard work behind every sports victory is beautifully shown.,hard work behind every sport victory beautifully shown,"['hard', 'work', 'behind', 'every', 'sport', 'victory', 'beautifully', 'shown']"
work,2025-03-13 06:49:16+00:00,@James6522013310 The only way to do great work is to love what you do.🔞🧔🥿🌏,way great work love,"['way', 'great', 'work', 'love']"
work,2025-03-13 06:49:16+00:00,@James6522013310 The only way to do great work is to love what you do.🥼📎🥽💾,way great work love,"['way', 'great', 'work', 'love']"
work,2025-03-13 06:49:16+00:00,@susan7179455375 The day is short but the work is much.🐸🎌💚🧨,day short work,"['day', 'short', 'work']"
work,2025-03-13 06:49:16+00:00,"You need a high sophisticated Face Fixer workflow for SDXL. Here we are!

https://t.co/Yx3DotnkWa

#AIart #AIartwork #AIimage #AIimagegeneration #AIgenerated #digitalart #digitalartwork #promptart #diffusionmodel #GenerativeAI #Workflow #ComfyUI",need high sophisticated face fixer workflow sdxl,"['need', 'high', 'sophisticated', 'face', 'fixer', 'workflow', 'sdxl']"
work,2025-03-13 06:49:16+00:00,"artists, work smarter not harder. draw your oshis naked",artist work smarter harder draw oshis naked,"['artist', 'work', 'smarter', 'harder', 'draw', 'oshis', 'naked']"
work,2025-03-13 06:49:16+00:00,"@alban_knox kya 😳
I’m so looking forward to listening it after my work!! 🥺🧡",kya looking forward listening work,"['kya', 'looking', 'forward', 'listening', 'work']"
work,2025-03-13 06:49:15+00:00,"@Patrickdery @karolineleavitt Wow. 3 years longer and broke your whole like. 
I also assume in a few more years this number will change. With all the assisted killings of Canadians.
I can’t believe anyone would be ok with giving half their work to a government so they can waste it 
You ppl are a whole level… https://t.co/wx8bD4HRre",wow year longer broke whole like also assume year number change assisted killing canadian believe anyone would ok giving half work government waste ppl whole,"['wow', 'year', 'longer', 'broke', 'whole', 'like', 'also', 'assume', 'year', 'number', 'change', 'assisted', 'killing', 'canadian', 'believe', 'anyone', 'would', 'ok', 'giving', 'half', 'work', 'government', 'waste', 'ppl', 'whole']"
